title,label_id,label,text,keywords
Oracle - What TNS Names file am I using?,2,oracle,oracle what tns names file am i using ,tns-0.6657	names-0.5242
Expression.Invoke in Entity Framework?,18,linq,expression invoke in entity framework ,invoke-0.6203	entity-0.4659
Refresh Excel VBA Function Results,5,excel,refresh excel vba function results,refresh-0.5675	results-0.4803
Conditional Linq Queries,18,linq,conditional linq queries,conditional-0.6755	queries-0.6307
Sharepoint Wikis,14,sharepoint,sharepoint wikis,wikis-0.9218	sharepoint-0.3876
Creating a development environment for SharePoint.,14,sharepoint,creating a development environment for sharepoint ,environment-0.5848	development-0.5201
In Visual Studio you must be a member of Debug Users or Administrators to start debugging. What if you are but it doesn't work?,7,visual-studio,in visual studio you must be a member of debug users or administrators to start debugging what if you are but it doesn t work ,administrators-0.4637	member-0.3695
MaskedEditExtender,15,ajax,maskededitextender,maskededitextender-1.0	____-0.0
"Creating Visual Studio templates under the ""Windows"" catagory.",7,visual-studio,creating visual studio templates under the windows catagory ,catagory-0.6098	templates-0.4805
_wfopen equivalent under Mac OS X,9,osx,_wfopen equivalent under mac os x,_wfopen-0.7315	equivalent-0.4728
Attaching VisualSVN Server to an existing repository,3,svn,attaching visualsvn server to an existing repository,attaching-0.5646	visualsvn-0.5289
Oracle SQL Developer not responsive when trying to view tables (or suggest an Oracle Mac client),2,oracle,oracle sql developer not responsive when trying to view tables or suggest an oracle mac client ,responsive-0.4309	suggest-0.4004
Is there a tool that can display a SVN repository visually ( i.e. pretty charts )?,3,svn,is there a tool that can display a svn repository visually i e pretty charts ,visually-0.5042	charts-0.4477
Is it safe to install SVN on a production win2008 web server?,3,svn,is it safe to install svn on a production win web server ,win-0.4747	production-0.4552
SVN Manager App for Mac (better than XCode),3,svn,svn manager app for mac better than xcode ,manager-0.5162	xcode-0.4647
In Cocoa do I need to remove an Object from receiving KVO notifications when deallocating it?,9,osx,in cocoa do i need to remove an object from receiving kvo notifications when deallocating it ,deallocating-0.4733	kvo-0.4153
Managed Source Control Hosting and Continuous Integration with CVSDude and CruiseControl.net,3,svn,managed source control hosting and continuous integration with cvsdude and cruisecontrol net,cvsdude-0.4332	continuous-0.3866
Class Designer in Visual Studio - is it worth it?,7,visual-studio,class designer in visual studio is it worth it ,worth-0.6285	designer-0.5071
Starting MATLAB from the command line,6,matlab,starting matlab from the command line,starting-0.6587	line-0.4704
LINQ vs stored procedures?,18,linq,linq vs stored procedures ,procedures-0.6395	stored-0.5411
Do you use version control other than for source code?,3,svn,do you use version control other than for source code ,source-0.4963	version-0.4822
Is it possible to disable command input in the toolbar search box?,7,visual-studio,is it possible to disable command input in the toolbar search box ,toolbar-0.4642	box-0.4136
Drawing a view hierachy into a specific content in Cocoa,8,cocoa,drawing a view hierachy into a specific content in cocoa,hierachy-0.605	drawing-0.4465
"Visual Studio Error: The ""GenerateResource"" task failed unexpectedly.",7,visual-studio,visual studio error the generateresource task failed unexpectedly ,generateresource-0.5296	unexpectedly-0.4937
How to get out parameters working in SharePoint workflows,14,sharepoint,how to get out parameters working in sharepoint workflows,workflows-0.6576	parameters-0.5094
Do you have any recommended macros for Microsoft Visual Studio?,7,visual-studio,do you have any recommended macros for microsoft visual studio ,recommended-0.5669	macros-0.5225
Tool in Visual Studio 2008 for helping with Localization,7,visual-studio,tool in visual studio for helping with localization,helping-0.5931	localization-0.5792
Best way to deploy subversion in a multisite windows environment,3,svn,best way to deploy subversion in a multisite windows environment,multisite-0.5318	deploy-0.4485
Subversion Management Tools,3,svn,subversion management tools,management-0.6415	tools-0.6163
Is it possible to coax Visual Studio 2008 into using italics for comments?,7,visual-studio,is it possible to coax visual studio into using italics for comments ,coax-0.5583	italics-0.5204
Use SVN instead of CVS on SourceForge,3,svn,use svn instead of cvs on sourceforge,sourceforge-0.6334	cvs-0.5173
SSRS - Uninstall Trial Version of VS Business Intelligence,7,visual-studio,ssrs uninstall trial version of vs business intelligence,intelligence-0.4566	trial-0.4566
Migrating to GIT,3,svn,migrating to git,migrating-0.7292	git-0.6843
Can I configure VisualStudio 2008 to always build the startup project?,7,visual-studio,can i configure visualstudio to always build the startup project ,visualstudio-0.5161	startup-0.5093
What Visual Studio add-ins do you use?,7,visual-studio,what visual studio add ins do you use ,ins-0.6956	add-0.3917
Visual Studio color theme,7,visual-studio,visual studio color theme,color-0.6084	theme-0.5748
Visual Studio open files question,7,visual-studio,visual studio open files question,open-0.5325	question-0.5015
Webserver Log Analysis,4,apache,webserver log analysis,analysis-0.6245	webserver-0.6245
What's the best way to report errors from a SharePoint workflow?,14,sharepoint,what s the best way to report errors from a sharepoint workflow ,report-0.5183	workflow-0.4757
How do you configure VS2008 to only open one webserver in a solution with multiple projects?,7,visual-studio,how do you configure vs to only open one webserver in a solution with multiple projects ,webserver-0.5017	configure-0.3943
Error viewing csproj property pages in VisualStudio2005,7,visual-studio,error viewing csproj property pages in visualstudio ,csproj-0.5169	viewing-0.4682
.net solution subversion best practices?,7,visual-studio, net solution subversion best practices ,practices-0.5509	solution-0.4899
AnkhSVN Cannot Connect Due to Proxy,7,visual-studio,ankhsvn cannot connect due to proxy,ankhsvn-0.6808	proxy-0.5298
How do I create a self signed SSL certificate to use while testing a web app.,4,apache,how do i create a self signed ssl certificate to use while testing a web app ,signed-0.4545	certificate-0.4278
Are there any tools to convert Markdown documents to HTML en masse?,10,bash,are there any tools to convert markdown documents to html en masse ,masse-0.4703	en-0.4384
How to install a plugin for QtWebKit,16,qt,how to install a plugin for qtwebkit,qtwebkit-0.6941	install-0.5214
Are there reasons not to use JSONP for AJA~X requests?,15,ajax,are there reasons not to use jsonp for aja x requests ,aja-0.5364	jsonp-0.5151
What Content Management does your workplace use?,2,oracle,what content management does your workplace use ,workplace-0.6701	management-0.4804
mod_rewrite rule to redirect all requests except for one specific path,4,apache,mod_rewrite rule to redirect all requests except for one specific path,rule-0.4673	requests-0.4435
Best way to encapsulate complex Oracle PL/SQL cursor logic as a view?,2,oracle,best way to encapsulate complex oracle pl sql cursor logic as a view ,encapsulate-0.4671	logic-0.3972
Why doesn't 'shell' work in VBscript in VS6?,7,visual-studio,why doesn t shell work in vbscript in vs ,vbscript-0.5959	shell-0.4361
What's the best way to manage a classic asp front-end using Visual Studio 2008?,7,visual-studio,what s the best way to manage a classic asp front end using visual studio ,classic-0.5334	manage-0.418
Deploying InfoPath forms to different SharePoint servers,14,sharepoint,deploying infopath forms to different sharepoint servers,infopath-0.4901	deploying-0.4685
Script to backup svn repository to network share,3,svn,script to backup svn repository to network share,backup-0.4845	share-0.474
Give me awesome Visual Studio keyboard short cuts!,7,visual-studio,give me awesome visual studio keyboard short cuts ,awesome-0.5255	cuts-0.5255
How to Stop NTFS volume auto-mounting on OS X,9,osx,how to stop ntfs volume auto mounting on os x,mounting-0.5156	ntfs-0.4951
Changing ctrl+tab behavior for moving between document in Visual Studio,7,visual-studio,changing ctrl tab behavior for moving between document in visual studio,ctrl-0.4577	behavior-0.4049
How do I use Linq for paging a generic collection?,18,linq,how do i use linq for paging a generic collection ,paging-0.6078	generic-0.5
Mocking and IQueriable<T>,18,linq,mocking and iqueriable t ,iqueriable-0.7176	mocking-0.6965
Source Control in Visual Studio Isolated Shell,7,visual-studio,source control in visual studio isolated shell,isolated-0.6254	shell-0.4064
Accessing Excel data source running SSIS package on 64 bit server,5,excel,accessing excel data source running ssis package on bit server,ssis-0.5036	accessing-0.3622
IntelliSenss for XElements object with XML schema,18,linq,intellisenss for xelements object with xml schema,intellisenss-0.5711	xelements-0.5711
Transactional Design Pattern,14,sharepoint,transactional design pattern,transactional-0.6295	design-0.5634
Sharepoint COMException 0x81020037,14,sharepoint,sharepoint comexception x ,comexception-0.916	sharepoint-0.4011
"Getting error in manage categories - not found for attribute ""navigation_column""",20,magento,getting error in manage categories not found for attribute navigation_column ,navigation_column-0.5786	manage-0.4355
Virtual Mac?,9,osx,virtual mac ,virtual-0.8429	mac-0.5381
How do I find the Excel column name that corresponds to a given integer?,5,excel,how do i find the excel column name that corresponds to a given integer ,corresponds-0.6285	integer-0.4639
Resources for an Oracle beginner,2,oracle,resources for an oracle beginner,beginner-0.7009	resources-0.6107
Best way to license Microsoft software as a very small developer,7,visual-studio,best way to license microsoft software as a very small developer,license-0.4493	small-0.4318
Tips for running Subversion in a Windows world,3,svn,tips for running subversion in a windows world,world-0.5671	tips-0.5097
Height of NSTextView with one line?,9,osx,height of nstextview with one line ,nstextview-0.6463	height-0.6392
Installing Apache Web Server on 64 Bit Mac,4,apache,installing apache web server on bit mac,installing-0.5152	bit-0.5015
Develop on local Oracle instance,2,oracle,develop on local oracle instance,develop-0.6159	instance-0.5171
Upgrading Sharepoint 3.0 to SQL 2005 Backend?,14,sharepoint,upgrading sharepoint to sql backend ,upgrading-0.6256	backend-0.6036
Bash One Liner: copy template_*.txt to foo_*.txt?,10,bash,bash one liner copy template_ txt to foo_ txt ,txt-0.6627	foo_-0.4019
Modifying SharePoint System Files,14,sharepoint,modifying sharepoint system files,modifying-0.7672	files-0.4792
How do I REALLY reset the Visual Studio window layout?,7,visual-studio,how do i really reset the visual studio window layout ,reset-0.5229	really-0.4764
Getting QMake to generate a proper .app,16,qt,getting qmake to generate a proper app,qmake-0.5204	proper-0.4974
NHibernate vs LINQ,18,linq,nhibernate vs linq,nhibernate-0.7552	vs-0.511
Alternating coloring groups of rows in Excel,5,excel,alternating coloring groups of rows in excel,alternating-0.563	coloring-0.5232
ASP.NET JavaScript Callbacks Without Full PostBacks?,15,ajax,asp net javascript callbacks without full postbacks ,postbacks-0.5827	callbacks-0.5523
"How to ""unversion"" a file in either svn and/or git",3,svn,how to unversion a file in either svn and or git,unversion-0.7103	git-0.5411
Flex tools for Mac,9,osx,flex tools for mac,flex-0.7136	tools-0.5835
Are Http-Only cookies a viable option for an AJAX website?,15,ajax,are http only cookies a viable option for an ajax website ,viable-0.5368	cookies-0.4749
How to get rid of VSMacros80 folder from project root?,7,visual-studio,how to get rid of vsmacros folder from project root ,vsmacros-0.5815	rid-0.486
Bash reg-exp substitution,10,bash,bash reg exp substitution,exp-0.5958	reg-0.5722
Any pitfalls developing C#/.NET code in a Virtual Machine running on a MAC?,9,osx,any pitfalls developing c net code in a virtual machine running on a mac ,pitfalls-0.4855	developing-0.4186
Why do my exception stack traces always point to the last method line?,7,visual-studio,why do my exception stack traces always point to the last method line ,traces-0.5683	stack-0.4348
SharePoint SPContext.List in a custom application page,14,sharepoint,sharepoint spcontext list in a custom application page,spcontext-0.6619	application-0.3529
Getting ssh to execute a command in the background on target machine,10,bash,getting ssh to execute a command in the background on target machine,target-0.4358	ssh-0.4116
What is the more efficient version control methodology - checkout or merge (ie Perforce vs Subversion),3,svn,what is the more efficient version control methodology checkout or merge ie perforce vs subversion ,methodology-0.4781	perforce-0.4132
What is the best way to package and distribute an Excel application.,5,excel,what is the best way to package and distribute an excel application ,distribute-0.5988	package-0.465
Problems while submitting a UTF-8 form textarea with JQuery/AJAX,15,ajax,problems while submitting a utf form textarea with jquery ajax,textarea-0.4934	submitting-0.4515
Dynamically display Edit Control Block menu item in SharePoint,14,sharepoint,dynamically display edit control block menu item in sharepoint,dynamically-0.4009	edit-0.3892
programmatically retrieve Visual Studio install directory,7,visual-studio,programmatically retrieve visual studio install directory,retrieve-0.491	programmatically-0.4554
Display solution/file path in Visual Studio IDE,7,visual-studio,display solution file path in visual studio ide,ide-0.5122	solution-0.4284
Apache Webservers,4,apache,apache webservers,webservers-0.9173	apache-0.3981
Is there a Way to use Linq to Oralce,18,linq,is there a way to use linq to oralce,oralce-0.7854	way-0.3737
Is there a pattern using Linq to dynamically create a filter?,18,linq,is there a pattern using linq to dynamically create a filter ,dynamically-0.4976	pattern-0.4841
Forcing the Solution Explorer to select the file in the editor in visual studio 2005,7,visual-studio,forcing the solution explorer to select the file in the editor in visual studio ,forcing-0.4936	explorer-0.4396
How do I check the active solution configuration Visual Studio built with at runtime?,7,visual-studio,how do i check the active solution configuration visual studio built with at runtime ,active-0.4129	built-0.4053
Upload a file to SharePoint through the built-in web services,14,sharepoint,upload a file to sharepoint through the built in web services,built-0.5034	upload-0.4834
How do I list all Entries with a certain tag in Wordpress?,1,wordpress,how do i list all entries with a certain tag in wordpress ,entries-0.5822	tag-0.4969
Linq select * with multiple tables,18,linq,linq select with multiple tables,tables-0.5998	select-0.5427
Visual Studio identical token highlighting,7,visual-studio,visual studio identical token highlighting,identical-0.5942	token-0.5155
Any disadvantages of accessing Subversion repositories through file:/// for a solo developer?,3,svn,any disadvantages of accessing subversion repositories through file for a solo developer ,solo-0.5123	disadvantages-0.4572
"Is there a way to do ""intraWord"" text navigation in VS?",7,visual-studio,is there a way to do intraword text navigation in vs ,intraword-0.6613	navigation-0.4838
generation of designer file failed,7,visual-studio,generation of designer file failed,generation-0.5833	failed-0.5472
"How to remove ""VsDebuggerCausalityData"" data from SOAP message?",7,visual-studio,how to remove vsdebuggercausalitydata data from soap message ,vsdebuggercausalitydata-0.6135	soap-0.4924
Building a VS2010 project consumes extra resources,7,visual-studio,building a vs project consumes extra resources,consumes-0.5656	extra-0.4409
NSEnumerator performance vs for loop in Cocoa,8,cocoa,nsenumerator performance vs for loop in cocoa,nsenumerator-0.6591	performance-0.4226
what is the best way to backup subversion repositories?,3,svn,what is the best way to backup subversion repositories ,backup-0.5519	repositories-0.5493
Best way to export a QTMovie with a fade-in and fade-out in the audio,9,osx,best way to export a qtmovie with a fade in and fade out in the audio,fade-0.7835	qtmovie-0.364
When to commit changes?,2,oracle,when to commit changes ,changes-0.7095	commit-0.7047
Integrating a custom gui framework with the VS designer,7,visual-studio,integrating a custom gui framework with the vs designer,integrating-0.501	designer-0.4539
Getting files and their version numbers from sharepoint,14,sharepoint,getting files and their version numbers from sharepoint,numbers-0.5497	version-0.4782
"Visual Studio Hosting Process and ""The operation could not be completed""",7,visual-studio,visual studio hosting process and the operation could not be completed ,completed-0.5265	hosting-0.4901
Looking up document library items in a SharePoint workflow,14,sharepoint,looking up document library items in a sharepoint workflow,looking-0.4717	workflow-0.4579
Subversion: Fail update when there are conflicts?,3,svn,subversion fail update when there are conflicts ,conflicts-0.6023	fail-0.5661
Change templates in XCode,8,cocoa,change templates in xcode,templates-0.6507	xcode-0.6036
Is Scala the next big thing?,13,scala,is scala the next big thing ,thing-0.7092	big-0.6237
Wordpress Wiki Integration,1,wordpress,wordpress wiki integration,wiki-0.7165	integration-0.6007
How do I delete 1 file from a revision in SVN?,3,svn,how do i delete file from a revision in svn ,revision-0.6243	delete-0.5617
How can I find the revision history of the file that was deleted and then resubmitted to SVN?,3,svn,how can i find the revision history of the file that was deleted and then resubmitted to svn ,resubmitted-0.5821	deleted-0.4454
What Code Snippet Editor Do You Use?,7,visual-studio,what code snippet editor do you use ,snippet-0.6536	editor-0.5337
Visual Studio: Build Solution vs Batch Build,7,visual-studio,visual studio build solution vs batch build,build-0.693	batch-0.4208
Is it possible to persist (without reloading) AJAX page state across BACK button clicks?,15,ajax,is it possible to persist without reloading ajax page state across back button clicks ,clicks-0.4677	reloading-0.4328
Excel: list ranges targeted by INDIRECT formulas,5,excel,excel list ranges targeted by indirect formulas,indirect-0.5233	targeted-0.5025
How do I get the assembler output from a C file in VS2005,7,visual-studio,how do i get the assembler output from a c file in vs ,assembler-0.7347	output-0.4552
"Subversion ignoring ""--password"" and ""--username"" options",3,svn,subversion ignoring password and username options,ignoring-0.5226	username-0.4925
SharePoint List Scalability,14,sharepoint,sharepoint list scalability,scalability-0.8459	list-0.3975
Best Way to ReUse Code When Using Visual Studio?,7,visual-studio,best way to reuse code when using visual studio ,reuse-0.6187	code-0.3587
Optimizing Sharepoint Search Crawling,14,sharepoint,optimizing sharepoint search crawling,crawling-0.6463	optimizing-0.584
Retrieving HTTP status code from loaded iframe with Javascript,15,ajax,retrieving http status code from loaded iframe with javascript,iframe-0.4551	retrieving-0.4133
"nmake, visualstudio, and .mak files",7,visual-studio,nmake visualstudio and mak files,mak-0.6018	nmake-0.5779
How can I point Visual Studio 2008 to a new path for projects?,7,visual-studio,how can i point visual studio to a new path for projects ,point-0.4986	projects-0.4675
How do I make bash reverse-search work in Terminal.app without it displaying garbled output?,9,osx,how do i make bash reverse search work in terminal app without it displaying garbled output ,garbled-0.4641	reverse-0.3659
Do you continue development in a branch or in the trunk?,3,svn,do you continue development in a branch or in the trunk ,continue-0.5873	trunk-0.5107
Begining SVN,3,svn,begining svn,begining-0.9039	svn-0.4278
How do I autorun an application in a terminal in Ubuntu?,10,bash,how do i autorun an application in a terminal in ubuntu ,autorun-0.6305	ubuntu-0.5347
Rollbacking bad changes with svn in Eclipse,3,svn,rollbacking bad changes with svn in eclipse,rollbacking-0.6192	bad-0.451
What are the alternatives to using phpMyAdmin?,9,osx,what are the alternatives to using phpmyadmin ,phpmyadmin-0.7428	alternatives-0.6029
Table Stats gathering for Oracle,2,oracle,table stats gathering for oracle,gathering-0.6561	stats-0.6115
Intergrating Perl and Oracle AQ,2,oracle,intergrating perl and oracle aq,intergrating-0.6062	aq-0.565
Oracle Server performance monitoring tools,2,oracle,oracle server performance monitoring tools,monitoring-0.5885	tools-0.4865
Is there any way to sticky a file in subversion,3,svn,is there any way to sticky a file in subversion,sticky-0.7499	subversion-0.4206
designing Panels without a parent Form in VS?,7,visual-studio,designing panels without a parent form in vs ,panels-0.551	designing-0.5436
What's a good way to write a Cocoa front-end to an Erlang application?,9,osx,what s a good way to write a cocoa front end to an erlang application ,erlang-0.546	end-0.4122
Is it possible to convert projects wizard created for MSVS 2005 to MSVS 2008 format autom,7,visual-studio,is it possible to convert projects wizard created for msvs to msvs format autom,msvs-0.7038	autom-0.3665
Simple audio input API on a Mac?,9,osx,simple audio input api on a mac ,audio-0.562	input-0.4515
Filter linq list on property value,18,linq,filter linq list on property value,property-0.5198	filter-0.5164
Issue in Oracle Sql Query,2,oracle,issue in oracle sql query,issue-0.6161	query-0.4805
Best way to handle LOBs in Oracle dblink'ed tables,2,oracle,best way to handle lobs in oracle dblink ed tables,lobs-0.4726	ed-0.4524
What is a good maintainability index using Visual Studio 2008 code analysis?,7,visual-studio,what is a good maintainability index using visual studio code analysis ,maintainability-0.5559	analysis-0.4683
Parallelize Bash Script,10,bash,parallelize bash script,parallelize-0.8169	script-0.4366
Error Code Reference for OSX/Cocoa,8,cocoa,error code reference for osx cocoa,reference-0.5325	osx-0.4738
Combining Structures,6,matlab,combining structures,combining-0.7103	structures-0.7039
Can you modify text files when committing to subversion?,3,svn,can you modify text files when committing to subversion ,committing-0.6274	modify-0.4905
Visual Studio equivalent to Delphi bookmarks,7,visual-studio,visual studio equivalent to delphi bookmarks,bookmarks-0.6037	delphi-0.5723
Is it possible to run OSX in a virtual machine?,9,osx,is it possible to run osx in a virtual machine ,virtual-0.51	machine-0.5026
How to add a web part zone in SharePoint using SharePoint Designer,14,sharepoint,how to add a web part zone in sharepoint using sharepoint designer,zone-0.5601	sharepoint-0.5174
Visual Studio 2005/2008: How to keep first curly brace on same line?,7,visual-studio,visual studio how to keep first curly brace on same line ,brace-0.6075	curly-0.5933
Good Way to Debug Visual Studio Designer Errors,7,visual-studio,good way to debug visual studio designer errors,designer-0.461	errors-0.4377
Visual Studio 2005/2008: How can you share/force all developers to use the same formatting rulles?,7,visual-studio,visual studio how can you share force all developers to use the same formatting rulles ,rulles-0.5228	developers-0.4049
How to run gpg from a script run by cron?,10,bash,how to run gpg from a script run by cron ,run-0.6401	gpg-0.5533
How to use the SharePoint MultipleLookupField control?,14,sharepoint,how to use the sharepoint multiplelookupfield control ,multiplelookupfield-0.768	control-0.4347
How are tags made in Subversion?,3,svn,how are tags made in subversion ,tags-0.8009	subversion-0.5989
Getting Apache to modify modify static webpages on the fly,4,apache,getting apache to modify modify static webpages on the fly,modify-0.663	webpages-0.4473
How to make a pipe loop in bash,10,bash,how to make a pipe loop in bash,pipe-0.6426	loop-0.5218
