text,label,label_masked
Finding errors / warnings in Visual Studio,visual-studio,unknown
Vertical line after a certain amount characters in Visual Studio,visual-studio,unknown
Using Visual Studio's 'cl' from a normal command line,visual-studio,unknown
"Visual Studio Intellisense, c#, no code behind.",visual-studio,unknown
"What does the option ""convert to web application"" do if I select it in visual studio?",visual-studio,unknown
How to Autogenerate multiple getters/setters or accessors in Visual Studio,visual-studio,unknown
Best way to learn Visual Studio power features,visual-studio,unknown
"What is ""missing"" in the Visual Studio Express Editions?",visual-studio,unknown
Resharper and ViEmu Keybindings  ( and Visual Assist ),visual-studio,unknown
How to get Intellisense on error-marked code in Visual Studio 2005?,visual-studio,unknown
Is there a tool to convert a .vim colour definition file to use in VS.NET 2008,visual-studio,unknown
How do I get my Visual Studio Test Suite web test to iterate over my data source,visual-studio,unknown
Advantages of VS 2008 over VS 2005,visual-studio,unknown
Can Visual Studio 2008 work with Team System 2005?,visual-studio,unknown
Greedy <Delete> and <Backspace> in Visual Studio,visual-studio,unknown
Number of Classes in a Visual Studio Solution,visual-studio,unknown
How to switch back to a previous version of a file without deleting its subsequent revisions?,svn,unknown
What is your favorite Resharper/Visual Studio shortcut?,visual-studio,unknown
"Subversion Error: ""Working copy [directory] not locked""",svn,unknown
Can I create a Visual Studio macro to launch a specific project in the debugger?,visual-studio,unknown
Visual Studio: Detecting unneeded Assemblies,visual-studio,unknown
How can I retore svn control if the .svn folder has been damaged,svn,svn
Any suggestions for effectively testing AJAX enabled web pages using MSVS Tester Edition Tools?,visual-studio,unknown
Why is Visual Studio constantly crashing?!,visual-studio,unknown
What's the name of Visual Studio Import UI Widget (picture inside),visual-studio,unknown
Keyboard shortcut to close all tabs but current one in Visual Studio?,visual-studio,unknown
Visual Studio 2005 says I don't have permission to debug?,visual-studio,unknown
What is the optimal VSTF source structure? Are there any best practices?,visual-studio,unknown
Favorite Visual Studio keyboard shortcuts,visual-studio,unknown
Combo Box Item comparison and compiler warnings,visual-studio,unknown
What is the most common feature that demands the use of Visual Studio Professional over Standard?,visual-studio,unknown
How do I fix this Subversion MKCOL error?,svn,unknown
Best way to run unit tests after each commit ? - svn - branch per feature,svn,unknown
How can I create a directory listing of a subversion repository.,svn,unknown
Visual Studio color settings for better eye,visual-studio,unknown
Hidden Features of Visual Studio (2005-2008)?,visual-studio,unknown
How do I set specific environment variables when debugging in Visual Studio?,visual-studio,unknown
"How do I undo ""svn switch"" on a subdirectory?",svn,unknown
Multiple Monitors with Visual Studio 2008,visual-studio,unknown
Check if application was started from within Visual Studio,visual-studio,unknown
Synchronize SourceSafe with SVN,svn,unknown
What's the best way to create a drop-down list in a Windows application using Visual Basic?,visual-studio,unknown
Which would you rather use: VisualSVN or AnkhSVN?,visual-studio,unknown
Including eval / bind values in OnClientClick code,visual-studio,unknown
What are some good usability Addins for Visual Studio 2008?,visual-studio,unknown
Subversion Branch Reintegration,svn,unknown
Is there a means to produce a changelog in SVN,svn,unknown
Where to start with source-control,svn,unknown
Can FxCop/StyleCop be limited to only analyze selected methods from with Visual Studio?,visual-studio,unknown
ReportViewer displaying black background in Print Layout mode,visual-studio,unknown
Sharing binary folders in Visual Studio,visual-studio,unknown
What is the best way to inspect STL containers in Visual Studio debugging?,visual-studio,unknown
Compartment items not displayed in DSL diagram,visual-studio,unknown
"Running an MVC application through IIS results in ""Directory listing denied""",visual-studio,unknown
What is your favorite Visual Studio add-in/setting.,visual-studio,unknown
Code review addin for Visual Studio,visual-studio,unknown
What is the optimal way to organize shared .net assemblies in SVN?,svn,unknown
Disabling single line copy in Visual Studio,visual-studio,unknown
What is the reasoning behind the recommended layout for Subversion repositories?,svn,unknown
How to access the current Subversion build number?,svn,unknown
How do you integrate a TDD approach with VisualStudio?,visual-studio,unknown
"Information Not Found page in Visual Studio 2008, VB.NET Express Edition",visual-studio,unknown
Visual Studio Solutions / Multiple project : How to effectively propagate project properties amongst several projects,visual-studio,unknown
"Using Visual Studio 2008 to Assemble, Link, Debug, and Execute MASM 6.11 Assembly Code",visual-studio,unknown
How can you change the Visual Studio IDE profile?,visual-studio,unknown
How can I test for an expected exception with a specific exception message in Visual Studio Test?,visual-studio,unknown
Svn ignore versioned on update,svn,unknown
"What does ""Optimize Code"" option really do in Visual Studio?",visual-studio,unknown
How to disable a programmatical breakpoint / assert?,visual-studio,unknown
error when switching to different svn branch,svn,unknown
How can I customize the syntax highlighting in Visual Studio 2005?,visual-studio,unknown
How do I convince my team to drop sourcesafe and move to SVN?,svn,unknown
ASP.NET Framework effects of moving from 2.0 to 3.5?,visual-studio,unknown
Javascript to extract author/date from SVN keyword substitution,svn,unknown
Visual Studio: How to break on handled exceptions?,visual-studio,unknown
How do I branch an individual file in SVN?,svn,unknown
SVN Versioning,svn,unknown
How can I publish a subversion repository to a local IIS?,svn,unknown
What should I do with the vendor directory with respect to subversion?,svn,unknown
Source code control policy,svn,unknown
"Subversion Berkeley DB broken, recovery failed.",svn,unknown
How to export fonts and colors from VS2008 to VS2005?,visual-studio,unknown
Will Subclipse 1.4.4 work with Subversion 1.3.2,svn,unknown
Checkout one file from subversion,svn,unknown
"VS2005 ""Add New Item..."" dialog - default item",visual-studio,unknown
Is there anyway to remove Design (and Split) views from Visual Studio 2005/2008?,visual-studio,unknown
Capture console output for debugging in VS?,visual-studio,unknown
Do you use the branches/tags/trunk convention?,svn,unknown
"Any way to do Visual Studio ""project only"" build from command line?",visual-studio,unknown
Visual Studio Freezing/TFS Window Might be off screen,visual-studio,unknown
Have you integrated Mantis and Subversion?,svn,svn
Learning how to use Subversion,svn,unknown
Sending SVN commits to an RSS feed,svn,unknown
How to make SVN only update files but not add new ones.,svn,unknown
Visual Studio Context Menu Shortcut,visual-studio,unknown
subversion cherry picking,svn,unknown
SVN performance after many revisions,svn,unknown
Where can you find the C# Language Specifications?,visual-studio,unknown
SVN Working Copy xxx locked and cleanup failed,svn,unknown
Embedding non-edit widgets in a DataGridView,visual-studio,unknown
How to use system environment variables in VS 2008 Post-Build events?,visual-studio,unknown
How to setup non-admin development in Visual Studio 2005 and 2003,visual-studio,unknown
What plugin would you really like to have for Visual Studio 2005/2008,visual-studio,unknown
Cannot Access http://<tfs-server>:8080,visual-studio,unknown
"MFC ""Warning: skipping non-radio button in group.""",visual-studio,unknown
"How to use ""macros"" in VisualStudio 2008 build events?",visual-studio,unknown
Expanding a Region will expand children in Visual Studio,visual-studio,unknown
How big of a security risk is checking out an svn project right into production site?,svn,svn
SVN installation,svn,unknown
Are their naming conventions for ASP.NET web application directory structures?,visual-studio,unknown
Which language should I pick up: VB.Net or C#,visual-studio,unknown
Keyword highlighting on selection in Visual Studio 2008,visual-studio,unknown
In Visual Studio how to give relative path of a .lib file in project properties,visual-studio,unknown
PDB files in VisualStudio bin\debug folders,visual-studio,unknown
Running subversion under apache,svn,unknown
"Visual Studio "">of"" command causes solution explorer to go wacky",visual-studio,unknown
Visual Studio Refactoring: Remove Structured IF/End If,visual-studio,unknown
"How can I repair ""upgraded"" subversion working directories?",svn,unknown
Determining the port a Visual Studio Web App runs on,visual-studio,unknown
Prevent visual studio creating browse info (.ncb) files,visual-studio,unknown
"Visual Studios Link.exe error: ""extra operand""",visual-studio,unknown
What's required for a clean uninstall of Visual Studio 2005,visual-studio,unknown
Is there a way to add a Subversion section to the right click menu for TextMate ?,svn,unknown
"In Visual Studio, when would I want to use the Test View?",visual-studio,unknown
Subversive connectors not working with newest Ganymede update,svn,unknown
Can i run a script when i commit to subversion?,svn,svn
MSBuild directory structure limit workarounds,visual-studio,unknown
How do i make my colleagues not despising SVN?,svn,unknown
Subversion question: How can I use post-commit hooks to copy committed files to a web directory?,svn,unknown
Team Foundation Server - Use API to Sync to SVN,svn,unknown
Which Visual Studio Color Theme?,visual-studio,unknown
Visual Studio 2008 source control for small teams,visual-studio,unknown
How do you get a list of changes from a Subversion repository by date range?,svn,svn
Viewing the Visual SourceSafe log inside Visual Studio,visual-studio,unknown
Can I Install Visual Studio 2008 Express with VS 2005 ?,visual-studio,unknown
Integrating External Sources in a Build,svn,unknown
App to Change Ldap Password for a JIRA/SVN server,svn,unknown
What do 'Delimiter' and 'InheritsFromParent' tags mean in .vsprops files?,visual-studio,unknown
What is the difference between the Project and SVN workingDirectory config Blocks in CruiseControl.NET,svn,unknown
How to synchronize two subversion repositories?,svn,svn
"Multiple repositories, single setup",svn,unknown
Easy way to embed svn revision number in page in PHP?,svn,unknown
"What are the various ""Build action"" settings in VS.NET project properties and what do they do?",visual-studio,unknown
Visual Studio support for new C / C++ standards?,visual-studio,unknown
How do I rename a SharePoint virtual machine,sharepoint,unknown
Why does my Out of the Box SharePoint Navigation look like it is leaking memory,sharepoint,unknown
Automatically adding specified text at beginning of files in VS 2008,visual-studio,unknown
"How can I remotely (via web services) determine date format of SharePoint 2003 site, for use in Versions.asmx returned XML?",sharepoint,unknown
Anyone have commit notification hook script that will send email upon commit of codes?,svn,unknown
Create a tag upon every build of the application?,svn,unknown
Is there anyway to tell Visual Studio not to open all the documents when I load solution?,visual-studio,unknown
Sharepoint Workflow Modification is not disabled,sharepoint,unknown
How do I refresh the relationships in a dataset?,visual-studio,unknown
How do I properly branch post-commit and revert the trunk in svn?,svn,unknown
Visual Studio Keyboard Shortcut to automatically add the needed Using statement,visual-studio,unknown
Customizing Visual Studio's Intellisense,visual-studio,unknown
"Viewing repository information from within Eclipse, when code was checked out using svn tortoise",svn,unknown
Has anyone run into problems in TortoiseSVN where the 'author' isn't written to the log?,svn,unknown
How to run Visual Studio post-build events for debug build only,visual-studio,unknown
How do I embed a File Version in an MSI file with Visual Studio?,visual-studio,unknown
Code Promotion: Build or Binary?,svn,unknown
Structuring projects & dependencies of large winforms applications in C#,visual-studio,unknown
svn + repostiory location,svn,svn
How do you structure your SVN repository?,svn,unknown
Credential Caching Fail on SVN 1.5.2,svn,svn
CruiseControl.net : Using SvnLabeller / SvnRevisionLabeller,svn,unknown
How do I resolve a merge conflict with SVN properties?,svn,unknown
TSVNCache.exe is heating up my Mac,svn,unknown
Subversion - is trunk really the best place for the main development?,svn,unknown
Viewing a MOSS 2007 page as another user would see it - without logging in as that user,sharepoint,unknown
How do you remove subversion control for a folder?,svn,unknown
Extending chart functionality in SSRS,visual-studio,unknown
How do you use git svn?,svn,unknown
How do I configure visual studio to use the code view as the default view for Webservices?,visual-studio,unknown
"Using Mercurial, is there an easy way to diff my working copy with the tip file in the default remote repository",svn,unknown
in-house projects: to stable release or not?,svn,unknown
How do you setup a shared Working Copy in Subversion,svn,unknown
When using cvs2svn how can you rename symbols such that a branch and tag resolve to the same name?,svn,unknown
Getting specific revision via http with VisualSVN Server,svn,unknown
Sharepoint WebParts,sharepoint,unknown
Project dependencies across multiple Visual Studio versions,visual-studio,unknown
What is the best way to separate UI (designer/editor) logic from the Package framework (like Visual Studio Package),visual-studio,unknown
What to do when 'svn cleanup' fails?,svn,unknown
DLL versions and Visual Studio attach to process,visual-studio,unknown
Check out from a remote SVN repository TO a remote location?,svn,unknown
How to find oracle error codes that could result from a connection error?,oracle,unknown
Oracle ROWNUM,oracle,unknown
subversion diff including new files,svn,unknown
How do I sort my code in Visual Studio 2008?,visual-studio,unknown
Visual Studio Debugger + Break when a value changes?,visual-studio,unknown
Is there a way to keep Visual Studio from modifying the solution file after every test run?,visual-studio,unknown
Authorization failed with SVN 1.5.2 on OS X,svn,unknown
Required Fields in Share Point data collection not throwing errors,sharepoint,unknown
What svn command would list all the files modified on a branch?,svn,unknown
Oracle considers empty strings to be NULL while SQL Server does not - How is this best handled?,oracle,unknown
How do I get svn:ignore to work properly?,svn,unknown
How can I maintain history of a file that is moved to a directory overwriting a file of the same name,svn,svn
Visual Studio 2005: All projects in solution explorer expanded on first opening of solution,visual-studio,unknown
"Visual Studio 2008: make ctrl-k, ctrl-n (next bookmark) stay within the same file",visual-studio,unknown
Best Way To Get Started With Mac Development,osx,unknown
What's a good book for learning Cocoa and Mac programming?,osx,unknown
Ora 12154 error,oracle,unknown
Prevent Legacy Function Calls In VB.NET,visual-studio,unknown
Is there a way to get types/names of an unknown db query without executing it?,oracle,unknown
Where is the Attic in Subversion?,svn,unknown
Installing RMagick on Mac OS X with MacPorts,osx,unknown
Creating Project Fails in Visual Studio 2005 and VS2008,visual-studio,unknown
How to disable Oracle XE component which is listening on 8080?,oracle,unknown
What is the syntax for custom stacks for the OSX Leopard dock?,osx,unknown
C# structural highlighting in Visual Studio 2008,visual-studio,unknown
Searching date meta tags in Sharepoint,sharepoint,unknown
Oracle instant client with OraOLE DB provider?,oracle,unknown
obtain current svn revision in webapp,svn,unknown
What is Microsoft's official stance on using WCF with Visual Studio 2005?,visual-studio,unknown
detect svn changes in a .bat,svn,unknown
Is it possible to select a specific tab in OSX Terminal.app using keyboard shortcuts?,osx,unknown
How do you manage .vcproj files in souce control which are changed by multiple developers?,visual-studio,unknown
How did you choose your Visual Studio productivity addon?,visual-studio,unknown
Best practice for creating subversion repositories?,svn,unknown
Any clever way to launch a makefile in Visual Studio only if build succeeded?,visual-studio,unknown
Subversion and revision engineering - what are the best web resources to read about?,svn,unknown
Oracle merge constants into single table,oracle,unknown
Visual Studio database project designers,visual-studio,unknown
Any problems with SVN merge on a multi column ( tab delimited ) text file?,svn,svn
Very slow response for Visual Studio 2005 Web Site Administration Tool,visual-studio,unknown
Eclipse's Crtl+click in Visual Stdio?,visual-studio,unknown
Visual Studio Memory Usage,visual-studio,unknown
Why does subversion chown/recreate files on checkin?,svn,unknown
Unauthorized Sharepoint WSDL from Coldfusion 8,sharepoint,unknown
"How do I disable the ""smart insert"" function that is bound to the Tab key in the Visual Studio emacs mode?",visual-studio,unknown
USB Driver Development on a Mac using Python,osx,unknown
Change Sound (or other) System Preferences in Mac OS X,osx,unknown
To host or not to host?,svn,unknown
Is there a way to maximise the current tab in Visual Studio?,visual-studio,unknown
Has anyone here worked on KOFAX-SharePoint 2007 integration?,sharepoint,unknown
Programming on the Asus EEE Pc in Visual Studio,visual-studio,unknown
How can I increase the key repeat rate beyond the OS's limit?,osx,unknown
Detecting appearance/disapperance of volumes on osx,osx,unknown
How to find and tail the Oracle alert log,oracle,unknown
"when updating a whole project's root, how to exclude svn externals from being updated?",svn,unknown
How to remove paths from tabs in Visual Studio 2008?,visual-studio,unknown
Oracle Cursor Issue,oracle,unknown
How do I get a list of files that have been added to the SVN since a certain date?,svn,svn
Is SVN 1.5 Merge-tracking ready for prime-time?,svn,unknown
How can I iterate recursivly though a sharepoint list using webservices?,sharepoint,unknown
How do I use the new SVN merge-tracking?,svn,unknown
Oracle APEX access,oracle,unknown
"Visual Studio: Is there a ""move class to different namespace"" refactoring?",visual-studio,unknown
Using VS 2005 to design abstract forms,visual-studio,unknown
Can you add documents and spreadsheets to a Visual Studio Project?,visual-studio,unknown
RowNum vs Row_Number,oracle,unknown
CAML query to locate specific SPFolder nested in document library tree,sharepoint,unknown
Best way to keep config files under SVN ?,svn,svn
SVN URL Format,svn,unknown
using subversion with a really really big site,svn,unknown
how to customize print layout of SharePoint list item,sharepoint,sharepoint
SVN checkout or export for production environment?,svn,svn
Synchronizing SVN repo from local to server?,svn,unknown
Why does TortoiseSVN (1.5.3) try to merge 1-Head when I pull from trunk?,svn,unknown
How do you version your database schema?,svn,unknown
Is there a connection between SourceSafe (version control) and SharePoint (collaboration)?,sharepoint,unknown
How to tie a dropdown list to a gridview in Sharepoint 2007?,sharepoint,sharepoint
What's the best way to find out the installed version of the iPhone SDK?,osx,unknown
How to use a function-based index on a column that contains NULLs in Oracle 10+?,oracle,unknown
What do you do about references when unloading a project in Visual Studio?,visual-studio,unknown
How do you uninstall Visual Studio SP1 w/ .Net 3.5 SP1?,visual-studio,unknown
CONTINUE' keyword in Oracle 10g PL/SQL,oracle,unknown
Users not showing up in Sharepoint Audiences,sharepoint,unknown
Test a site in Mac Firefox,osx,unknown
What happens when I edit web.config?,sharepoint,sharepoint
Unable to start debug in Visual Studio 2005,visual-studio,unknown
What happens if I don't use the --Reintegrate option in Subversion 1.5?,svn,unknown
Where does the Toolbar Metadata live in Visual Studio on the Filesystem,visual-studio,unknown
How can I connect to an Oracle database as SYS using an ADO connection string?,oracle,unknown
"Visual Studio 2008 Design Surface Error: ""The operation could not be completed. Invalid formatetc structure.""",visual-studio,unknown
Bulk Row Transfer between Oracle Databases with a Select Filter,oracle,unknown
Best solution for migration from Oracle Forms 6i to the web?,oracle,unknown
Which Visual Studio debugger features are missing from WinDbg?,visual-studio,unknown
Sharepoint InputFormSection control look-a-like,sharepoint,unknown
MOSS 2007 Document Library - choice column not displaying selected value,sharepoint,unknown
Visual Studio Express any good ?,visual-studio,unknown
What is the single best resource for learning the visual studio tools?,visual-studio,unknown
Any free alternative to VisualStudio?,visual-studio,unknown
What is the default URL for APEX for an Oracle XE installation?,oracle,unknown
Oracle error,oracle,unknown
How do you change Visual Studio's default web browser? (not .aspx),visual-studio,unknown
How do I use oracle.jdbc.driver.OracleLog to debug Oracle 10g database connection failures?,oracle,unknown
[Best Practise] Visual Studio Solution Structure for multiple deployable projects,visual-studio,unknown
How to constrain a database table so only one row can have a particular value in a column?,oracle,unknown
Versioning by default in SharePoint,sharepoint,unknown
Sharepoint disaster recovery,sharepoint,unknown
"How to write an automatic ""copy, check-out, change and check-in""-skript for svn",svn,unknown
Why does Visual Studio take so long to delete a file,visual-studio,unknown
What do the letter codes in Oracle user_contraints table's constraint_type column stand for?,oracle,unknown
Free oracle development tools.,oracle,unknown
VS 2k8 Doesn't Release File Handle After Debugging Stops: Unable to copy file X to output directory because it is being used by another process.,visual-studio,unknown
Why doesn't Visual Studio always render my page correctly when debugging locally?,visual-studio,unknown
How to change SharePoint extended webapplicaion`s web.config file,sharepoint,unknown
best of sharepoint,sharepoint,sharepoint
SharePoint Lists vs Database Tables performance...,sharepoint,unknown
Which Eclipse Subversion plugin should I use?,svn,unknown
SharePoint and Enterprise Library 4.0,sharepoint,unknown
Optimizations for a Write heavy Oracle application?,oracle,unknown
What project files shouldn't be checked into SVN,svn,unknown
Visual Studio 6 Processor Pack compatibility,visual-studio,unknown
What is the size limit for a varchar2 procedure argument in Oracle 10g ?,oracle,unknown
Good Alternatives to Visual Studio Setup Projects,visual-studio,unknown
WSS/MOSS Development ... Where to draw the line?,sharepoint,unknown
Hidding source control files within Visual Studio's solution tree,visual-studio,unknown
Subversion not merging changes into renamed files?,svn,svn
Oracle date,oracle,unknown
Mixing Visual Studio versions OK?,visual-studio,unknown
How to migrate a 3rd party web part from SharePoint 2 (2003) to SharePoint 3 (2007),sharepoint,unknown
Grant Select on all Tables Owned By Specific User,oracle,unknown
How to set session variable skip_unusable_indexes to true in a PL/SQL package to speed up a table delete/insert?,oracle,unknown
PL/SQL Evaluation Order,oracle,unknown
How do I format my oracle queries so the columns don't wrap?,oracle,unknown
Team Foundation Server (TFS) File Difference viewer - how to split horizontally,visual-studio,unknown
How to assign keyboard shortcut to Source Control commands in Visual Studio 2008?,visual-studio,unknown
Change background color of Solution Explorer in Visual Studio,visual-studio,unknown
What are your most-recommended Visual Studio perferences?,visual-studio,unknown
VSS front end for SVN,svn,unknown
Visual Studio MSTest run failing to even start,visual-studio,unknown
The selected files was not found on an InfoPath form in Sharepoint,sharepoint,unknown
What's the best way to persuade my employer to move from VSS to Subversion?,svn,unknown
Should the Visual Studio GUI editor be used?,visual-studio,unknown
Is there any reason why you all want to be notify whenever someone commit some codes?,svn,unknown
Restore SVN backups from multiple files.,svn,unknown
What's the cheapest mac development box possible?,osx,unknown
"Oracle - How does transaction, rollback segment and the undo_retention parameter work ?",oracle,oracle
How do I wrap a selection with an HTML tag in Visual Studio?,visual-studio,unknown
SVN and binaries,svn,unknown
Issue with database connection from sharepoint workflow with integrated security options,sharepoint,unknown
Getting a useful report from SVN - non-code files messing the stats up,svn,unknown
Is there a Visual Studio plugin for sorting build output (scrambled from multi-threaded builds)?,visual-studio,unknown
MVC with SharePoint,sharepoint,sharepoint
SharePoint site definitions not showing up in template list -- why?,sharepoint,unknown
Print text in Oracle SQL Developer SQL Worksheet window,oracle,oracle
Is this slash character in an Oracle PL/SQL script an error?,oracle,unknown
How can I get notified when the user finishes editing a cell in an NSTableView?,osx,unknown
Oracle recommendations for high volume writes and low volume read.,oracle,unknown
Distinguishing between HFS+ and HFS Standard Volumes,osx,unknown
Show file tree in visual studio 2005?,visual-studio,unknown
Committing binaries to SVN,svn,unknown
SharePoint does not find my custom RenderingTemplate,sharepoint,sharepoint
Oracle 10gr2: prevent any dates that fall on a Sunday?,oracle,unknown
Editing SQL query with Visual Studio 2008,visual-studio,unknown
How to find out whether subversion working directory is locked by svn?,svn,unknown
where is the Oracle Event Log located?,oracle,unknown
Oracle 10g - UTL_MAIL package,oracle,unknown
How to set Visual Studio as the default post-mortem debugger?,visual-studio,unknown
what is a pre-revprop-change hook in SVN and how do I create it?,svn,unknown
Removing contents of PlaceHolderPageTitleInTitleArea,sharepoint,unknown
Commonclipse for Visual Studio?,visual-studio,unknown
Beanstalk like Functionality,svn,unknown
subclipse alternative,svn,unknown
MSDN links in Visual Studio,visual-studio,unknown
Oracle DB Mac Address or other unique identifier,oracle,unknown
Why isn't querying a JDBC-compliant database from Oracle as easy as pie?,oracle,unknown
Correct way to give users access to additional schemas in Oracle,oracle,unknown
Global Find and Replace in Visual Studio,visual-studio,unknown
"Visual Studio 2008 -- Can I change which ""add reference"" tab is selected by default?",visual-studio,unknown
show running processes in Oracle DB,oracle,oracle
Oracle SQL technique to avoid filling trans log,oracle,unknown
Can I compile legacy MFC applications with Visual Studio 2008 ?,visual-studio,unknown
Where are Visual Studio breakpoints saved?,visual-studio,unknown
run oracle sql script from java,oracle,unknown
"Solution: Per application, or per application suite.",visual-studio,unknown
Debugging with exceptions: How to work around 'Break when thrown',visual-studio,unknown
Automatically enforcing a max database table size by dropping old rows,oracle,unknown
VS2005 + cant select windows service as project type,visual-studio,unknown
How do I obtain the id of a workflow created in Sharepoint Designer?,sharepoint,sharepoint
Is it possible to communicate with the Visual Studio debugger programmatically while debugging?,visual-studio,unknown
Dow do you set ASP.NET Development Web Server to not cache any content?,visual-studio,unknown
Visual Studio unit tests throw MissingMethodException when assembly is in GAC?,visual-studio,unknown
CAML query items with the given URLs,sharepoint,unknown
Context help in Visual Studio,visual-studio,unknown
How to use enums in Oracle?,oracle,unknown
Oracle 10gr2: ensure timestamps are between 9am and 5pm,oracle,unknown
Why does Oracle 9i treat an empty string as NULL?,oracle,unknown
Include directory in VS 2003,visual-studio,unknown
Internationalisation in Visual Studio,visual-studio,unknown
Accessing a remote file with a SharePoint Web Part,sharepoint,sharepoint
Why does running a script from SQLPlus not require a password?,oracle,unknown
What is the syntax for creating a timestamp(6) type field in Oracle,oracle,unknown
How to migrate all URL's in svn:externals properties across a repository?,svn,unknown
Why does Visual Studio keep building my C++ project?,visual-studio,unknown
What can cause intermittent ORA-12519 (TNS: no appropriate handler found) errors,oracle,unknown
Migrating from other Content Management Systems to SharePoint,sharepoint,unknown
Migrating a Character Based Oracle Form,oracle,unknown
Oracle database allows invalid time portion of datetime column values under what circumstances?,oracle,unknown
SharePoint (MOSS) hosting with custom code allowed,sharepoint,unknown
How does sharepoint recognize a file type?,sharepoint,unknown
data disappear after Item Update in Sharepoint with Office 2007 documents,sharepoint,unknown
What user context do SharePoint timer jobs run under?,sharepoint,sharepoint
Dynamically look up column names for a table while in an sql query,oracle,unknown
ORA-12154: TNS: Could not resolve service name,oracle,unknown
Oracle - Best SELECT statement for getting the difference in minutes between two DateTime columns?,oracle,unknown
Oracle 10gr2: enforce a date range,oracle,unknown
Oracle V$OSSTAT,oracle,unknown
What is the most wanted SharePoint feature?,sharepoint,unknown
Moving directories in subversion,svn,unknown
Fast recursive grepping of svn working copy,svn,unknown
How do I get Srcsrv with SVNindex.cmd to index extern files ?,svn,unknown
Does oracle allow the uncommited read option?,oracle,unknown
Deployed Web Part not showing up in 'Web Part Gallery: New Web Parts',sharepoint,unknown
How to best update a website from subversion.,svn,unknown
Search All Fields In All Tables For A Specific Value (Oracle),oracle,unknown
Sharepoint StateMachine : Handling multiple responses to multiple created tasks,sharepoint,unknown
Is there a tool to alphabetize CSS definitions in Visual Studio?,visual-studio,unknown
Is there a devenv flag to disable pdb generation at compile time?,visual-studio,unknown
How do you move visual studio DataTip window,visual-studio,unknown
Help documenting Javascript in Visual Studio?,visual-studio,unknown
Displaying Japanese fonts in source code using Visual Studio,visual-studio,unknown
How do you remove a file from being version controlled without deleting the file in subversion?,svn,unknown
Using svn and .NET Winforms - Building Install Files Deletes _svn Folders,svn,unknown
Connection to Oracle without a username or password,oracle,unknown
Placing a Sharepoint Site under version control,sharepoint,sharepoint
How do I rename a Project Folder from within Visual Studio?,visual-studio,unknown
how do I add a test web service to my project in Visual Studio?,visual-studio,unknown
SVN Libraries for .NET?,svn,svn
Problems with globalization when using Oracle collections with thin JDBC,oracle,oracle
How to choose and optimize oracle indexes ?,oracle,unknown
